client_id,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,transaction_date,floor_area_sqft,sale_price
C0001,Individual,F,USA,California,Home,4,Yes,2024-10-01,1090.32,351419.29
C0001,Individual,F,USA,California,Home,4,Yes,2024-12-01,1608.84,496266.41
C0001,Individual,F,USA,California,Home,4,Yes,2025-05-01,522.71,175599.9
C0001,Individual,F,USA,California,Home,4,Yes,2025-12-01,713.67,223479.12
C0002,Individual,M,USA,California,Home,1,No,2024-01-01,938.57,299245.2
C0002,Individual,M,USA,California,Home,1,No,2024-02-01,756.21,248525.12
C0002,Individual,M,USA,California,Home,1,No,2024-12-01,1582.79,505127.63
C0002,Individual,M,USA,California,Home,1,No,2025-05-01,1062.33,336892.39
C0002,Individual,M,USA,California,Home,1,No,2025-12-01,1599.81,451305.59
C0003,Individual,M,USA,California,Home,4,Yes,2024-07-01,719.47,216874.97
C0003,Individual,M,USA,California,Home,4,Yes,2024-08-01,834.5,241300.36
C0003,Individual,M,USA,California,Home,4,Yes,2025-01-01,1795.66,584611.99
C0003,Individual,M,USA,California,Home,4,Yes,2025-08-01,1127.76,358525.59
C0003,Individual,M,USA,California,Home,4,Yes,2025-10-01,813.16,260144.68
C0004,Individual,M,USA,California,Home,5,No,2024-02-01,794.52,201518.89
C0004,Individual,M,USA,California,Home,5,No,2024-04-01,794.52,223917.34
C0004,Individual,M,USA,California,Home,5,No,2024-04-01,668.24,149009.73
C0004,Individual,M,USA,California,Home,5,No,2024-05-01,785.12,230107.73
C0004,Individual,M,USA,California,Home,5,No,2025-02-01,710.41,197075.07
C0004,Individual,M,USA,California,Home,5,No,2025-08-01,1869.81,606634.75
C0005,Company,M,USA,California,Investment,5,No,2024-02-01,827.87,239341.58
C0005,Company,M,USA,California,Investment,5,No,2024-03-01,743.09,206445.42
C0005,Company,M,USA,California,Investment,5,No,2024-04-01,756.21,189194.31
C0005,Company,M,USA,California,Investment,5,No,2024-05-01,1160.36,331154.88
C0005,Company,M,USA,California,Investment,5,No,2024-05-01,1844.16,628812.33
C0005,Company,M,USA,California,Investment,5,No,2024-06-01,706.68,229412.62
C0005,Company,M,USA,California,Investment,5,No,2024-07-01,952.38,254270.21
C0005,Company,M,USA,California,Investment,5,No,2024-09-01,625.8,204027.09
C0005,Company,M,USA,California,Investment,5,No,2024-11-01,1152.84,349684.96
C0005,Company,M,USA,California,Investment,5,No,2024-12-01,1160.36,398903.42
C0005,Company,M,USA,California,Investment,5,No,2025-03-01,743.09,210745.17
C0005,Company,M,USA,California,Investment,5,No,2025-04-01,625.8,204434.68
C0005,Company,M,USA,California,Investment,5,No,2025-05-01,756.21,206958.71
C0006,Individual,M,USA,California,Home,3,Yes,2024-01-01,1117.14,331813.63
C0006,Individual,M,USA,California,Home,3,Yes,2024-05-01,914.61,294158.67
C0006,Individual,M,USA,California,Home,3,Yes,2025-04-01,798.28,195874.94
C0006,Individual,M,USA,California,Home,3,Yes,2025-08-01,858.93,257252.42
C0006,Individual,M,USA,California,Home,3,Yes,2025-11-01,1258.99,435031.4
C0007,Individual,M,Canada,Quebec,Investment,5,No,2024-01-01,1132.06,356506.37
C0007,Individual,M,Canada,Quebec,Investment,5,No,2024-02-01,811.56,233649.53
C0007,Individual,M,Canada,Quebec,Investment,5,No,2024-05-01,1615.29,484458.03
C0007,Individual,M,Canada,Quebec,Investment,5,No,2024-08-01,1173.4,342236.84
C0007,Individual,M,Canada,Quebec,Investment,5,No,2024-08-01,1052.27,326901.19
C0007,Individual,M,Canada,Quebec,Investment,5,No,2025-01-01,733.19,236608.95
C0007,Individual,M,Canada,Quebec,Investment,5,No,2025-03-01,785.48,247739.44
C0007,Individual,M,Canada,Quebec,Investment,5,No,2025-04-01,1493.72,429874.58
C0007,Individual,M,Canada,Quebec,Investment,5,No,2025-11-01,785.48,217748.48
C0007,Individual,M,Canada,Quebec,Investment,5,No,2025-12-01,649.8,177555.06
C0007,Individual,M,Canada,Quebec,Investment,5,No,2025-12-01,720.38,197869.36
C0008,Individual,F,USA,California,Home,5,No,2024-03-01,1121.95,290031.26
C0008,Individual,F,USA,California,Home,5,No,2024-08-01,785.12,234283.57
C0008,Individual,F,USA,California,Home,5,No,2024-08-01,710.41,215193.49
C0008,Individual,F,USA,California,Home,5,No,2024-12-01,668.24,199931.08
C0008,Individual,F,USA,California,Home,5,No,2025-03-01,1869.81,537291.01
C0009,Individual,M,USA,California,Investment,5,No,2024-12-01,1307.45,396973.83
C0009,Individual,M,USA,California,Investment,5,No,2025-05-01,649.69,168834.04
C0009,Individual,M,USA,California,Investment,5,No,2025-05-01,1897.17,468592.51
C0009,Individual,M,USA,California,Investment,5,No,2025-05-01,839.95,205528.92
C0009,Individual,M,USA,California,Investment,5,No,2025-05-01,1833.96,580903.05
C0010,Individual,M,USA,Oregon,Investment,3,No,2024-03-01,653.41,217830.91
C0010,Individual,M,USA,Oregon,Investment,3,No,2024-03-01,1552.34,479097.62
C0010,Individual,M,USA,Oregon,Investment,3,No,2024-08-01,1592.45,480540.62
C0010,Individual,M,USA,Oregon,Investment,3,No,2024-10-01,1253.03,340333.17
C0010,Individual,M,USA,Oregon,Investment,3,No,2025-09-01,649.8,214631.68
C0011,Individual,F,USA,California,Home,2,Yes,2024-11-01,520.49,152118.46
C0011,Individual,F,USA,California,Home,2,Yes,2025-01-01,860.97,244266.24
C0011,Individual,F,USA,California,Home,2,Yes,2025-06-01,924.21,248050.0
